dataset,budget,metric,baseline,mean_diff,ci_low,ci_high,p_value,significant_95
2wikimultihopqa,160,aic,topk,0.045,0.01,0.085,0.022,True
2wikimultihopqa,160,aic,mmr,0.06,0.01,0.11,0.03,True
2wikimultihopqa,160,aic,focused,0.02,-0.01,0.05,0.27,False
2wikimultihopqa,160,f1,topk,-0.00426967473654,-0.0228875178601686,0.0146844730771799,0.6312,False
2wikimultihopqa,160,f1,mmr,-0.0070296082949255,-0.0255648370894868,0.0109768569168116,0.4296,False
2wikimultihopqa,160,f1,focused,0.001336451283183,-0.0168955673304463,0.0201614255778941,0.91,False
2wikimultihopqa,160,em,topk,0.0,-0.015,0.015,1.0,False
2wikimultihopqa,160,em,mmr,0.0,-0.015,0.015,1.0,False
2wikimultihopqa,160,em,focused,0.0,-0.015,0.015,1.0,False
2wikimultihopqa,256,aic,topk,0.015,-0.02,0.05,0.4724,False
2wikimultihopqa,256,aic,mmr,0.02,-0.03,0.07,0.5,False
2wikimultihopqa,256,aic,focused,0.01,-0.02,0.04,0.6536,False
2wikimultihopqa,256,f1,topk,-0.0046707394572669,-0.0155224038554683,0.0068989605829738,0.3916,False
2wikimultihopqa,256,f1,mmr,-0.0073759592286805,-0.0171227395584907,0.0016864088374046,0.1136,False
2wikimultihopqa,256,f1,focused,-0.0026733090897177,-0.0139020191409897,0.0091351096286467,0.6132,False
2wikimultihopqa,256,em,topk,0.0,0.0,0.0,1.0,False
2wikimultihopqa,256,em,mmr,0.0,0.0,0.0,1.0,False
2wikimultihopqa,256,em,focused,0.0,0.0,0.0,1.0,False
2wikimultihopqa,384,aic,topk,0.01,0.0,0.025,0.2636,False
2wikimultihopqa,384,aic,mmr,-0.005,-0.035,0.02,0.8764,False
2wikimultihopqa,384,aic,focused,0.01,0.0,0.025,0.2636,False
2wikimultihopqa,384,f1,topk,-0.0040290681204736,-0.0092632254999902,-0.0001884774143625,0.0328,True
2wikimultihopqa,384,f1,mmr,-0.0022632581805309,-0.0086424279640107,0.0042858846341862,0.4704,False
2wikimultihopqa,384,f1,focused,-0.0020374449538536,-0.007698320330054,0.0032249103550961,0.4584,False
2wikimultihopqa,384,em,topk,0.0,0.0,0.0,1.0,False
2wikimultihopqa,384,em,mmr,0.0,0.0,0.0,1.0,False
2wikimultihopqa,384,em,focused,0.0,0.0,0.0,1.0,False
2wikimultihopqa,512,aic,topk,0.0,0.0,0.0,1.0,False
2wikimultihopqa,512,aic,mmr,-0.005,-0.015,0.0,0.7196,False
2wikimultihopqa,512,aic,focused,0.0,0.0,0.0,1.0,False
2wikimultihopqa,512,f1,topk,-0.004272970559498,-0.0095051380223106,-0.0004514374514374,0.018,True
2wikimultihopqa,512,f1,mmr,-0.0006296879464172,-0.0058487566544427,0.0051642968012563,0.7688,False
2wikimultihopqa,512,f1,focused,-0.0020374449538536,-0.007698320330054,0.0032249103550961,0.4584,False
2wikimultihopqa,512,em,topk,0.0,0.0,0.0,1.0,False
2wikimultihopqa,512,em,mmr,0.0,0.0,0.0,1.0,False
2wikimultihopqa,512,em,focused,0.0,0.0,0.0,1.0,False
2wikimultihopqa,80,aic,topk,-0.01,-0.045,0.025,0.6664,False
2wikimultihopqa,80,aic,mmr,-0.03,-0.08,0.015,0.2472,False
2wikimultihopqa,80,aic,focused,-0.005,-0.03,0.02,0.8584,False
2wikimultihopqa,80,f1,topk,-0.0082721134074878,-0.0195045510261959,0.0027603170502498,0.1304,False
2wikimultihopqa,80,f1,mmr,-0.0223063926693772,-0.0451238472610971,-0.0017658624907112,0.0344,True
2wikimultihopqa,80,f1,focused,-0.003521898717814,-0.0123323588350296,0.0051621525869183,0.414,False
2wikimultihopqa,80,em,topk,0.0,0.0,0.0,1.0,False
2wikimultihopqa,80,em,mmr,-0.005,-0.025,0.01,0.776,False
2wikimultihopqa,80,em,focused,0.0,0.0,0.0,1.0,False
hotpotqa,160,aic,topk,0.0,-0.045,0.045,1.0,False
hotpotqa,160,aic,mmr,0.0,-0.07,0.07,1.0,False
hotpotqa,160,aic,focused,0.005,-0.025,0.035,0.858,False
hotpotqa,160,f1,topk,-0.000424207541708,-0.0060569154554197,0.0048700201908066,0.8884,False
hotpotqa,160,f1,mmr,-0.0026437264932356,-0.0080509982510087,0.0023905991291317,0.2944,False
hotpotqa,160,f1,focused,0.0051316533562295,0.0011045264676843,0.0104451412627834,0.0012,True
hotpotqa,160,em,topk,0.0,0.0,0.0,1.0,False
hotpotqa,160,em,mmr,0.0,0.0,0.0,1.0,False
hotpotqa,160,em,focused,0.0,0.0,0.0,1.0,False
hotpotqa,256,aic,topk,0.0,-0.04,0.04,1.0,False
hotpotqa,256,aic,mmr,0.005,-0.055,0.07,0.9,False
hotpotqa,256,aic,focused,0.01,-0.015,0.04,0.5828,False
hotpotqa,256,f1,topk,0.0009977127023751,-0.0029896264304123,0.0050784631054332,0.6256,False
hotpotqa,256,f1,mmr,-0.0018803351305507,-0.0071220027785994,0.0030725289688734,0.4928,False
hotpotqa,256,f1,focused,0.0016456176673567,0.0002958152958152,0.0034302026475939,0.0344,True
hotpotqa,256,em,topk,0.0,0.0,0.0,1.0,False
hotpotqa,256,em,mmr,0.0,0.0,0.0,1.0,False
hotpotqa,256,em,focused,0.0,0.0,0.0,1.0,False
hotpotqa,384,aic,topk,-0.005,-0.04,0.03,0.8864,False
hotpotqa,384,aic,mmr,0.015,-0.03,0.06,0.5736,False
hotpotqa,384,aic,focused,-0.01,-0.03,0.01,0.456,False
hotpotqa,384,f1,topk,-0.0008089277871886,-0.0054090909090909,0.0032997678649852,0.7504,False
hotpotqa,384,f1,mmr,-0.0016890448415228,-0.005984231122195,0.0025439987913635,0.4368,False
hotpotqa,384,f1,focused,-0.0012746568676801,-0.0045704721634954,0.0005916305916305,0.58,False
hotpotqa,384,em,topk,0.0,0.0,0.0,1.0,False
hotpotqa,384,em,mmr,0.0,0.0,0.0,1.0,False
hotpotqa,384,em,focused,0.0,0.0,0.0,1.0,False
hotpotqa,512,aic,topk,-0.005,-0.015,0.0,0.7324,False
hotpotqa,512,aic,mmr,0.005,-0.01,0.025,0.7972,False
hotpotqa,512,aic,focused,-0.005,-0.015,0.0,0.7324,False
hotpotqa,512,f1,topk,0.000395256916996,-0.0027272727272727,0.0039130434782608,0.948,False
hotpotqa,512,f1,mmr,0.0004724926893537,-0.002650036954915,0.0039149743725697,0.7944,False
hotpotqa,512,f1,focused,0.0,0.0,0.0,1.0,False
hotpotqa,512,em,topk,0.0,0.0,0.0,1.0,False
hotpotqa,512,em,mmr,0.0,0.0,0.0,1.0,False
hotpotqa,512,em,focused,0.0,0.0,0.0,1.0,False
hotpotqa,80,aic,topk,-0.005,-0.05,0.04,0.9156,False
hotpotqa,80,aic,mmr,-0.045,-0.11,0.02,0.212,False
hotpotqa,80,aic,focused,0.04,0.01,0.075,0.006,True
hotpotqa,80,f1,topk,0.0005667738417637,-0.0080261363179902,0.0097243932742187,0.9172,False
hotpotqa,80,f1,mmr,0.0045863895688262,-0.0091669121804317,0.0203006047610927,0.5548,False
hotpotqa,80,f1,focused,0.0023435711132692,-0.007326388270205,0.0115149509552624,0.5992,False
hotpotqa,80,em,topk,0.0,0.0,0.0,1.0,False
hotpotqa,80,em,mmr,0.005,0.0,0.015,0.7348,False
hotpotqa,80,em,focused,0.0,0.0,0.0,1.0,False
squad,160,aic,topk,0.0,0.0,0.0,1.0,False
squad,160,aic,mmr,0.005,0.0,0.015,0.7328,False
squad,160,aic,focused,0.0,0.0,0.0,1.0,False
squad,160,f1,topk,0.001323436213289,-0.0011111111111111,0.0041065031440812,0.3236,False
squad,160,f1,mmr,-0.0002852852852852,-0.0016666666666666,0.0008108108108108,0.7952,False
squad,160,f1,focused,0.001323436213289,-0.0011111111111111,0.0041065031440812,0.3236,False
squad,160,em,topk,0.0,0.0,0.0,1.0,False
squad,160,em,mmr,0.0,0.0,0.0,1.0,False
squad,160,em,focused,0.0,0.0,0.0,1.0,False
squad,256,aic,topk,0.0,0.0,0.0,1.0,False
squad,256,aic,mmr,0.0,0.0,0.0,1.0,False
squad,256,aic,focused,0.0,0.0,0.0,1.0,False
squad,256,f1,topk,0.0010602783185521,-0.0011111111111111,0.0038546398442569,0.4516,False
squad,256,f1,mmr,-0.0002852852852852,-0.0016666666666666,0.0008108108108108,0.7952,False
squad,256,f1,focused,0.0010602783185521,-0.0011111111111111,0.0038546398442569,0.4516,False
squad,256,em,topk,0.0,0.0,0.0,1.0,False
squad,256,em,mmr,0.0,0.0,0.0,1.0,False
squad,256,em,focused,0.0,0.0,0.0,1.0,False
squad,384,aic,topk,0.0,0.0,0.0,1.0,False
squad,384,aic,mmr,0.0,0.0,0.0,1.0,False
squad,384,aic,focused,0.0,0.0,0.0,1.0,False
squad,384,f1,topk,0.0001907131011608,-0.0016666666666666,0.0022388059701492,0.9552,False
squad,384,f1,mmr,-0.0002852852852852,-0.0016666666666666,0.0008108108108108,0.7952,False
squad,384,f1,focused,0.0001907131011608,-0.0016666666666666,0.0022388059701492,0.9552,False
squad,384,em,topk,0.0,0.0,0.0,1.0,False
squad,384,em,mmr,0.0,0.0,0.0,1.0,False
squad,384,em,focused,0.0,0.0,0.0,1.0,False
squad,512,aic,topk,0.0,0.0,0.0,1.0,False
squad,512,aic,mmr,0.0,0.0,0.0,1.0,False
squad,512,aic,focused,0.0,0.0,0.0,1.0,False
squad,512,f1,topk,0.0001907131011608,-0.0016666666666666,0.0022388059701492,0.9552,False
squad,512,f1,mmr,-0.0002852852852852,-0.0016666666666666,0.0008108108108108,0.7952,False
squad,512,f1,focused,0.0001907131011608,-0.0016666666666666,0.0022388059701492,0.9552,False
squad,512,em,topk,0.0,0.0,0.0,1.0,False
squad,512,em,mmr,0.0,0.0,0.0,1.0,False
squad,512,em,focused,0.0,0.0,0.0,1.0,False
squad,80,aic,topk,0.0,-0.02,0.02,1.0,False
squad,80,aic,mmr,-0.025,-0.05,0.0,0.062,False
squad,80,aic,focused,0.025,0.0,0.055,0.0672,False
squad,80,f1,topk,-0.0018888888888888,-0.0051111111111111,0.0,0.2636,False
squad,80,f1,mmr,-0.0027908674224463,-0.0170039290486658,0.0118372591491012,0.6624,False
squad,80,f1,focused,0.0044352217830478,-0.0032222222222222,0.0162231005709266,0.4808,False
squad,80,em,topk,0.0,0.0,0.0,1.0,False
squad,80,em,mmr,0.0,-0.015,0.015,1.0,False
squad,80,em,focused,0.005,0.0,0.015,0.7352,False
triviaqa,160,aic,topk,0.04,0.0,0.08,0.0788,False
triviaqa,160,aic,mmr,0.05,-0.005,0.1001249999999981,0.084,False
triviaqa,160,aic,focused,0.015,-0.015,0.05,0.4404,False
triviaqa,160,f1,topk,-0.0048282591783735,-0.0132980119062587,0.0017087323494145,0.1772,False
triviaqa,160,f1,mmr,0.0018593095047723,-0.0170874558293591,0.0200468956101873,0.8356,False
triviaqa,160,f1,focused,0.001855138505024,-0.0053295063354202,0.0095916210982,0.656,False
triviaqa,160,em,topk,0.0,0.0,0.0,1.0,False
triviaqa,160,em,mmr,-0.005,-0.025,0.01,0.7764,False
triviaqa,160,em,focused,0.0,0.0,0.0,1.0,False
triviaqa,256,aic,topk,0.025,-0.015,0.065,0.2696,False
triviaqa,256,aic,mmr,0.06,0.019875,0.105,0.0084,True
triviaqa,256,aic,focused,0.03,-0.01,0.07,0.1548,False
triviaqa,256,f1,topk,-0.0023433776243373,-0.0103129931799436,0.0032677690871382,0.6052,False
triviaqa,256,f1,mmr,-0.0035817572608846,-0.0209175966497857,0.011218276631616,0.68,False
triviaqa,256,f1,focused,-0.0076966538021399,-0.0221658205244428,0.0027324822924622,0.2084,False
triviaqa,256,em,topk,0.0,0.0,0.0,1.0,False
triviaqa,256,em,mmr,-0.01,-0.025,0.0,0.2688,False
triviaqa,256,em,focused,-0.005,-0.015,0.0,0.7432,False
triviaqa,384,aic,topk,0.0,-0.03,0.03,1.0,False
triviaqa,384,aic,mmr,0.025,-0.01,0.06,0.2088,False
triviaqa,384,aic,focused,-0.005,-0.04,0.03,0.89,False
triviaqa,384,f1,topk,-0.0048859669237286,-0.0133243562249855,0.0002760109235152,0.0808,False
triviaqa,384,f1,mmr,0.0045833378778947,-0.0038312802998004,0.0145416981560768,0.3576,False
triviaqa,384,f1,focused,-0.003641995010639,-0.0121280790654731,0.0021296590297649,0.3188,False
triviaqa,384,em,topk,0.0,0.0,0.0,1.0,False
triviaqa,384,em,mmr,0.0,0.0,0.0,1.0,False
triviaqa,384,em,focused,0.0,0.0,0.0,1.0,False
triviaqa,512,aic,topk,0.0,-0.02,0.02,1.0,False
triviaqa,512,aic,mmr,0.015,-0.005,0.04,0.2444,False
triviaqa,512,aic,focused,-0.005,-0.02,0.01,0.8032,False
triviaqa,512,f1,topk,-0.0045016008961283,-0.0128441219055189,0.0007687273791781,0.1408,False
triviaqa,512,f1,mmr,0.0009287603928672,-0.0043597273384207,0.007688829931467,0.8464,False
triviaqa,512,f1,focused,-0.0032576289830388,-0.0117512987012987,0.0025639213416365,0.3928,False
triviaqa,512,em,topk,0.0,0.0,0.0,1.0,False
triviaqa,512,em,mmr,0.0,0.0,0.0,1.0,False
triviaqa,512,em,focused,0.0,0.0,0.0,1.0,False
triviaqa,80,aic,topk,0.025,-0.015,0.07,0.2964,False
triviaqa,80,aic,mmr,0.06,0.0,0.1151249999999981,0.0504,False
triviaqa,80,aic,focused,0.015,-0.015,0.05,0.4492,False
triviaqa,80,f1,topk,-0.0016873787241434,-0.016138172075672,0.0099448861730111,0.8084,False
triviaqa,80,f1,mmr,0.0063501801021831,-0.0169372909913503,0.0285646862497711,0.5824,False
triviaqa,80,f1,focused,0.005899249443367,-0.0012088352007469,0.0149355764741794,0.124,False
triviaqa,80,em,topk,-0.005,-0.015,0.0,0.7196,False
triviaqa,80,em,mmr,-0.01,-0.03,0.01,0.4452,False
triviaqa,80,em,focused,0.0,0.0,0.0,1.0,False
